DSL_SYNCHRONIZATION_STATUS,CONNECTION_STATUS,UPSTREAM_LINE_RATE_KBIT_S,DOWNSTREAM_LINE_RATE_KBIT_S,MAXIMUM_UPSTREAM_RATE_KBIT_S,MAXIMUM_DOWNSTREAM_RATE_KBIT_S,UPSTREAM_NOISE_SAFETY_COEFFICIENT_DB,DOWNSTREAM_NOISE_SAFETY_COEFFICIENT_DB,LINE_STANDARD,UPSTREAM_LINE_ATTENUATION_DB,DOWNSTREAM_LINE_ATTENUATION_DB,UPSTREAM_OUTPUT_POWER_DBM,DOWNSTREAM_OUTPUT_POWER_DBM,DSL_UP_TIME_HOURS,CREATED_DATE
Up,Showtime,4095,32767,25415,79824,22.4,10.8,G.993.2_Annex_B,2.6,9.7,7.5,14.5,117.819,2024-10-31 05:50:32.647
Up,Showtime,4095,32767,24688,79824,22.3,15.5,G.993.2_Annex_B,2.6,9.7,7.5,14.5,117.983,2024-10-31 06:00:23.430
Up,Showtime,4095,32767,25202,79824,22.3,15.3,G.993.2_Annex_B,2.6,9.7,7.5,14.5,118.15,2024-10-31 06:10:23.860
Up,Showtime,4095,32767,25335,79824,22.4,15.5,G.993.2_Annex_B,2.6,9.7,7.5,14.5,118.316,2024-10-31 06:20:23.976
Up,Showtime,4095,32767,24349,79824,21.7,13.7,G.993.2_Annex_B,2.6,9.7,7.5,14.5,118.483,2024-10-31 06:30:23.051
Up,Showtime,4095,32767,25190,79824,22.4,15.8,G.993.2_Annex_B,2.6,9.7,7.5,14.5,118.649,2024-10-31 06:40:22.225
Up,Showtime,4095,32767,25560,79824,22.6,15.8,G.993.2_Annex_B,2.6,9.7,7.5,14.5,118.816,2024-10-31 06:50:22.422
Up,Showtime,4095,32767,29494,79824,25.5,16.8,G.993.2_Annex_B,2.6,9.7,7.5,14.5,118.984,2024-10-31 07:00:25.866
Up,Showtime,4095,32767,30088,74264,26.0,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,0.129,2024-10-31 07:10:22.037
Up,Showtime,4095,32767,30088,74264,26.0,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,0.297,2024-10-31 07:20:27.382
Up,Showtime,4095,32767,30088,74264,26.0,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,0.463,2024-10-31 07:30:23.922
Up,Showtime,4095,32767,30088,74264,26.0,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,0.629,2024-10-31 07:40:22.042
Up,Showtime,4095,32767,30088,74264,25.9,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,0.796,2024-10-31 07:50:23.508
Up,Showtime,4095,32767,29974,74264,25.9,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,0.964,2024-10-31 08:00:30.992
Up,Showtime,4095,32767,29974,74264,25.9,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,1.13,2024-10-31 08:10:24.914
Up,Showtime,4095,32767,29974,74264,25.8,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,1.298,2024-10-31 08:20:28.817
Up,Showtime,4095,32767,29974,74264,25.8,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,1.462,2024-10-31 08:30:23.933
Up,Showtime,4095,32767,29974,74264,25.8,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,1.629,2024-10-31 08:40:23.643
Up,Showtime,4095,32767,29833,74264,25.7,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,1.796,2024-10-31 08:50:23.363
Up,Showtime,4095,32767,29833,74264,25.7,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,1.962,2024-10-31 09:00:23.386
Up,Showtime,4095,32767,29833,74264,25.7,18.7,G.993.2_Annex_B,3.3,10.5,7.6,14.5,2.129,2024-10-31 09:10:22.276
Up,Showtime,4095,32767,21725,74264,23.9,16.4,G.993.2_Annex_B,3.3,10.5,7.6,14.4,2.296,2024-10-31 09:20:26.916
